sample_rank,sample_basis,repo_id,repo_name,openrank_2607,stars,contributors,participants_2607,created_at,age_boundary,age_cohort,age_interpretation,llm_native_manual,llm_native_confidence,llm_native_reason,language,collaboration_niche,agent_proximity,study_section,niche_source,niche_review_note,current_landscape_selected,landscape_action,landscape_layer,landscape_section,license,archived,pushed_at,github_status
67,tracked_pool_top_100_by_openrank_2607,642497346,langfuse/langfuse,31.4,32022,200,22,2023-05-18,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Observability and evaluation platform created for LLM applications.,TypeScript,agent_runtime_infra,supporting_infrastructure,Observability & evaluation,landscape,,yes,keep,Agent Infra,Observability & evaluation,NOASSERTION,false,2026-07-28T14:57:23Z,ok
68,tracked_pool_top_100_by_openrank_2607,1133707766,multica-ai/multica,30.63,42351,279,33,2026-01-13,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Managed platform created specifically to coordinate coding agents.,Go,agent_framework,agent_building,Multi-agent orchestration,landscape,,yes,keep,Agent Infra,Multi-agent orchestration,NOASSERTION,false,2026-07-28T14:12:17Z,ok
69,tracked_pool_top_100_by_openrank_2607,1007406267,coze-dev/coze-loop,30.54,5652,41,16,2025-06-24,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Optimization and observability platform created for agent development lifecycles.,Go,agent_runtime_infra,supporting_infrastructure,Observability & evaluation,study_manual_mapping,Agent observability and evaluation platform.,no,omit,,,Apache-2.0,false,2026-07-28T13:40:55Z,ok
70,tracked_pool_top_100_by_openrank_2607,979886407,IBM/mcp-context-forge,30.35,4151,161,13,2025-05-08,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Gateway and registry created around MCP and agent tool calling.,Python,agent_runtime_infra,supporting_infrastructure,Protocols & interoperability,landscape,,yes,add,Agent Infra,Protocols & interoperability,Apache-2.0,false,2026-07-28T14:49:06Z,ok
71,tracked_pool_top_100_by_openrank_2607,1166129534,NVIDIA/OpenShell,30.27,7847,110,17,2026-02-24,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Runtime created specifically for executing autonomous agents safely.,Rust,agent_runtime_infra,supporting_infrastructure,Development sandboxes,study_manual_mapping,Execution and sandbox layer for agent workloads.,no,omit,,,Apache-2.0,false,2026-07-28T14:50:03Z,ok
72,tracked_pool_top_100_by_openrank_2607,1031912724,farion1231/cc-switch,29.32,121967,212,28,2025-08-04,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Desktop tool created to manage coding-agent providers skills and configuration.,Rust,agent_application,direct_agent_experience,Coding workflows & harnesses,landscape,,yes,keep,Agent Infra,Coding workflows & harnesses,MIT,false,2026-07-28T08:34:11Z,ok
73,tracked_pool_top_100_by_openrank_2607,589831718,Comfy-Org/ComfyUI,29.18,122592,328,24,2023-01-17,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,traditional,medium,Node-based diffusion workflow UI whose core does not depend on language models or software agents.,Python,agent_framework,agent_building,Workflow & agent builders,landscape,,no,remove,Agent Infra,Workflow & agent builders,GPL-3.0,false,2026-07-28T14:48:14Z,ok
74,tracked_pool_top_100_by_openrank_2607,1183888342,stablyai/orca,29.1,51638,339,49,2026-03-17,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Development environment created to coordinate fleets of coding agents.,TypeScript,agent_framework,agent_building,Multi-agent orchestration,landscape,,yes,add,Agent Infra,Multi-agent orchestration,MIT,false,2026-08-23T14:44:08Z,ok
75,tracked_pool_top_100_by_openrank_2607,725205304,unslothai/unsloth,28.52,69015,290,13,2023-11-29,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Training and local-running stack centered on modern language models.,Python,model_infra,supporting_infrastructure,Post-Train · Supervised fine-tuning,landscape,,yes,keep,Model Infra,Post-Train · Supervised fine-tuning,Apache-2.0,false,2026-07-28T14:56:15Z,ok
76,tracked_pool_top_100_by_openrank_2607,552661142,langchain-ai/langchain,27.87,142799,467,16,2022-10-17,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,llm_native,high,Framework created around language-model chains and agents despite predating ChatGPT.,Python,agent_framework,agent_building,Code-first frameworks,landscape,,yes,keep,Agent Infra,Code-first frameworks,MIT,false,2026-07-28T13:34:04Z,ok
77,tracked_pool_top_100_by_openrank_2607,153097643,openvinotoolkit/openvino,27.34,10585,407,39,2018-10-15,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General AI inference optimization toolkit with a broad pre-LLM scope.,C++,model_infra,supporting_infrastructure,Serving · Inference,landscape,,yes,keep,Model Infra,Serving · Inference,Apache-2.0,false,2026-07-28T14:41:50Z,ok
78,tracked_pool_top_100_by_openrank_2607,974445592,microsoft/agent-framework,27.23,12468,216,20,2025-04-28,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Framework created specifically for AI agents and multi-agent workflows.,Python,agent_framework,agent_building,Code-first frameworks,landscape,,yes,add,Agent Infra,Code-first frameworks,MIT,false,2026-07-27T23:18:38Z,ok
79,tracked_pool_top_100_by_openrank_2607,638951438,comet-ml/opik,27.22,20941,142,20,2023-05-10,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Evaluation and observability platform created for LLM and agent workflows.,Python,agent_runtime_infra,supporting_infrastructure,Observability & evaluation,landscape,,yes,keep,Agent Infra,Observability & evaluation,Apache-2.0,false,2026-07-28T14:57:02Z,ok
80,tracked_pool_top_100_by_openrank_2607,678526156,marimo-team/marimo,26.83,22094,324,19,2023-08-14,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,mixed,medium,Reactive notebook retains a complete non-LLM workflow while adding an AI-native editor experience.,Python,agent_application,direct_agent_experience,Agentic coding,study_manual_mapping,AI-enabled developer workspace; direct Agentic AI scope needs review.,no,omit,,,Apache-2.0,false,2026-07-28T14:43:26Z,ok
81,tracked_pool_top_100_by_openrank_2607,55072677,weaviate/weaviate,26.72,16654,156,17,2016-03-30,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,Vector database and search engine established well before the LLM application wave.,Go,agent_runtime_infra,supporting_infrastructure,"Memory, knowledge & context",study_manual_mapping,Data and retrieval substrate used by agent applications.,no,omit,,,BSD-3-Clause,false,2026-07-28T14:57:47Z,ok
82,tracked_pool_top_100_by_openrank_2607,599320067,langflow-ai/langflow,26.11,152530,358,12,2023-02-08,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Visual builder created for LLM applications agents and workflows.,Python,agent_framework,agent_building,Workflow & agent builders,landscape,,yes,keep,Agent Infra,Workflow & agent builders,MIT,false,2026-07-28T14:55:08Z,ok
83,tracked_pool_top_100_by_openrank_2607,1216785679,esengine/DeepSeek-Reasonix,26.06,34916,146,28,2026-04-21,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Coding agent designed specifically around DeepSeek models and prompt caching.,Go,agent_application,direct_agent_experience,Agentic coding,landscape,,yes,add,Agent Infra,Agentic coding,MIT,false,2026-08-20T12:58:49Z,ok
84,tracked_pool_top_100_by_openrank_2607,564072810,Arize-ai/phoenix,25.11,10780,209,15,2022-11-09,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,mixed,medium,Observability project began near the ChatGPT boundary and expanded from broader ML tracing into LLM and agent evaluation.,Python,agent_runtime_infra,supporting_infrastructure,Observability & evaluation,landscape,,yes,keep,Agent Infra,Observability & evaluation,NOASSERTION,false,2026-07-28T14:50:26Z,ok
85,tracked_pool_top_100_by_openrank_2607,76474200,apache/hudi,24.44,6197,382,22,2016-12-14,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General data-lake storage and incremental processing system independent of LLMs.,Java,model_infra,supporting_infrastructure,Data · Governance,landscape,,yes,keep,Model Infra,Data · Governance,Apache-2.0,false,2026-07-28T14:46:16Z,ok
86,tracked_pool_top_100_by_openrank_2607,614765452,Significant-Gravitas/AutoGPT,24.14,185734,427,16,2023-03-16,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Autonomous agent project created as an application of GPT-class models.,Python,agent_application,direct_agent_experience,Personal AI assistants,study_manual_mapping,Autonomous agent application.,no,omit,,,NOASSERTION,false,2026-07-28T14:43:47Z,ok
87,tracked_pool_top_100_by_openrank_2607,65711522,PaddlePaddle/Paddle,23.89,24035,360,38,2016-08-15,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,traditional,high,General deep-learning framework with a mature pre-LLM ecosystem.,C++,model_infra,supporting_infrastructure,Pre-Train · Framework & parallel,landscape,,yes,keep,Model Infra,Pre-Train · Framework & parallel,Apache-2.0,false,2026-07-28T12:22:56Z,ok
88,tracked_pool_top_100_by_openrank_2607,1108837393,code-yeongyu/oh-my-openagent,23.75,66711,310,10,2025-12-03,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Agent harness created for Codex OpenCode and related coding agents.,TypeScript,agent_application,direct_agent_experience,Coding workflows & harnesses,landscape,,yes,keep,Agent Infra,Coding workflows & harnesses,NOASSERTION,false,2026-07-28T14:47:25Z,ok
89,tracked_pool_top_100_by_openrank_2607,291438522,siyuan-note/siyuan,23.03,45468,118,12,2020-08-30,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,mixed,high,Knowledge-management application founded before ChatGPT that has since added agentic and MCP capabilities.,TypeScript,agent_application,direct_agent_experience,Chatbot workspaces,study_manual_mapping,AI-enabled knowledge workspace; direct Agentic AI scope needs review.,no,omit,,,AGPL-3.0,false,2026-07-28T14:55:57Z,ok
90,tracked_pool_top_100_by_openrank_2607,881221486,verl-project/verl,22.94,22699,443,13,2024-10-31,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Post-training framework created for reinforcement learning on language models.,Python,model_infra,supporting_infrastructure,Post-Train · RL & environments,landscape,,yes,keep,Model Infra,Post-Train · RL & environments,Apache-2.0,false,2026-07-28T12:50:50Z,ok
91,tracked_pool_top_100_by_openrank_2607,250510075,huggingface/trl,22.75,18952,464,14,2020-03-27,2022-12-01,created_before_2022_12,pre_chatgpt_launch_creation_proxy,llm_native,high,Library created to train transformer language models with reinforcement learning before ChatGPT.,Python,model_infra,supporting_infrastructure,Post-Train · RL & environments,landscape,,yes,add,Model Infra,Post-Train · RL & environments,Apache-2.0,false,2026-07-28T13:57:47Z,ok
92,tracked_pool_top_100_by_openrank_2607,627480054,eosphoros-ai/DB-GPT,22.22,19583,182,36,2023-04-13,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Data assistant and agent framework created around GPT-class language models.,Python,agent_framework,agent_building,Workflow & agent builders,study_manual_mapping,Framework for data-oriented agent applications.,no,omit,,,MIT,false,2026-07-28T14:45:19Z,ok
93,tracked_pool_top_100_by_openrank_2607,600596928,danny-avila/LibreChat,22.06,41382,391,11,2023-02-12,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Self-hosted model chat and agent interface created around ChatGPT-style systems.,TypeScript,agent_application,direct_agent_experience,Chatbot workspaces,landscape,,yes,keep,Agent Infra,Chatbot workspaces,MIT,false,2026-07-28T13:58:12Z,ok
94,tracked_pool_top_100_by_openrank_2607,631431061,apache/gravitino,22.03,3136,332,13,2023-04-23,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,traditional,high,General federated metadata catalog whose core remains independent of LLMs.,Java,model_infra,supporting_infrastructure,Data · Governance,landscape,,yes,keep,Model Infra,Data · Governance,Apache-2.0,false,2026-07-28T09:31:46Z,ok
95,tracked_pool_top_100_by_openrank_2607,987670088,charmbracelet/crush,21.76,26905,145,4,2025-05-21,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Agentic coding tool created around LLMs.,Go,agent_application,direct_agent_experience,Agentic coding,landscape,,no,remove,Agent Infra,Agentic coding,NOASSERTION,false,2026-07-28T00:50:06Z,ok
96,tracked_pool_top_100_by_openrank_2607,846698999,aaif-goose/goose,21.73,51850,449,21,2024-08-23,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Extensible execution agent created around LLM tool use.,Rust,agent_application,direct_agent_experience,Agentic coding,landscape,,yes,keep,Agent Infra,Agentic coding,Apache-2.0,false,2026-07-28T14:47:30Z,ok
97,tracked_pool_top_100_by_openrank_2607,701547123,open-webui/open-webui,21.58,147065,391,15,2023-10-06,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,User interface created to operate local and hosted language models.,Python,agent_application,direct_agent_experience,Chatbot workspaces,landscape,,yes,keep,Agent Infra,Chatbot workspaces,NOASSERTION,false,2026-07-27T23:39:39Z,ok
98,tracked_pool_top_100_by_openrank_2607,707441527,livekit/agents,21.41,11536,463,10,2023-10-19,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Framework created specifically for realtime voice and video agents powered by foundation models.,Python,agent_framework,agent_building,Code-first frameworks,landscape,,yes,keep,Agent Infra,Code-first frameworks,Apache-2.0,false,2026-07-28T14:00:03Z,ok
99,tracked_pool_top_100_by_openrank_2607,1012087571,router-for-me/CLIProxyAPI,21.34,45328,215,13,2025-07-01,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,API proxy created specifically for coding agents and LLM providers.,Go,agent_runtime_infra,supporting_infrastructure,Model API gateways,study_manual_mapping,Model API access layer used by coding agents and agent applications.,no,omit,,,MIT,false,2026-07-28T08:35:18Z,ok
100,tracked_pool_top_100_by_openrank_2607,819733173,kvcache-ai/Mooncake,20.65,6062,302,25,2024-06-25,2022-12-01,created_2022_12_or_later,post_chatgpt_launch_creation_proxy,llm_native,high,Serving platform created for an LLM service and its KV-cache workloads.,C++,model_infra,supporting_infrastructure,Serving · Inference,landscape,,no,remove,Model Infra,Serving · Inference,Apache-2.0,false,2026-07-28T12:23:04Z,ok
